Question,SQL_Query
How many products in the CSV file have a discount of more than 30%?,SELECT COUNT(*) AS num_products FROM table_name WHERE discount > 30; 
What is the distribution of original prices for the products in the CSV file?,"SELECT original_price, COUNT(*) AS num_products FROM table_name GROUP BY original_price; "
Which product has the highest number of reviews for products with a discount of less than 10% in the CSV file?,SELECT * FROM table_name WHERE discount < 10 AND reviews = (SELECT MAX(reviews) FROM table_name WHERE discount < 10); 
How many products in the CSV file have a rating greater than 4 and a chat response time of less than 30 minutes?,SELECT COUNT(*) AS num_products FROM table_name WHERE rating > 4 AND chat_response_time < 30 
What is the distribution of discounts for products sold by a specific seller in the CSV file?,"SELECT discount, COUNT(*) as count FROM products WHERE seller_name = 'specific seller name' GROUP BY discount ORDER BY count DESC; "
Which seller has the highest number of products with a delivery time of less than 2 days in the CSV file?,"SELECT seller_name, COUNT(*) as count FROM products WHERE delivery_time < 2 GROUP BY seller_name ORDER BY count DESC LIMIT 1; "
How many products in the CSV file have a delivery price of less than 150 and a delivery time of less than 3 days?,SELECT COUNT(*) as count FROM products WHERE delivery_price < 150 AND delivery_time < 3; 
What is the most common rating for the products in the CSV file?,"SELECT rating, COUNT(*) as count FROM products GROUP BY rating ORDER BY count DESC LIMIT 1; "
Which product has the highest ratio of discount to original price in the CSV file?,"SELECT product_name, discount/original_price as ratio FROM products ORDER BY ratio DESC LIMIT 1; "
What is the distribution of ratings for the products in the CSV file with a delivery time of less than 5 days and a delivery price of less than 100?,"SELECT rating, COUNT(*) AS count FROM products WHERE delivery_time < 5 AND delivery_price < 100 GROUP BY rating; "
How many products in the CSV file have a seller rating greater than 4 and a shipment rating greater than 4?,SELECT COUNT(*) AS count FROM products WHERE seller_rating > 4 AND shipment_rating > 4; 
Which seller has the highest ratio of seller rating to shipment rating in the CSV file?,"SELECT seller_name, seller_rating/shipment_rating AS ratio FROM sellers ORDER BY ratio DESC LIMIT 1; "
What is the correlation between the delivery time and the count of reviews for the products in the CSV file?,"SELECT CORR(delivery_time, review_count) AS correlation FROM products; "
How many sellers in the CSV file have a chat response time of less than 10 minutes and a shipment rating greater than 4?,SELECT COUNT(*) AS count FROM sellers WHERE chat_response_time < 10 AND shipment_rating > 4; 
Which product has the highest number of reviews for products with a delivery time of less than 2 days and a brand rating greater than 4 in the CSV file?,"SELECT product_name, MAX(review_count) AS max_reviews FROM products WHERE delivery_time < 2 AND brand_rating > 4 GROUP BY product_name ORDER BY max_reviews DESC LIMIT 1; "
How many products in the CSV file have a discount of more than 20% and a delivery time of less than 10 days?,SELECT COUNT(*) AS count FROM products WHERE discount > 20 AND delivery_time < 10; 
What is the most common seller rating for the sellers in the CSV file with a shipment rating greater than 4?,"SELECT seller_rating, COUNT(*) AS count FROM sellers WHERE shipment_rating > 4 GROUP BY seller_rating ORDER BY count DESC LIMIT 1; "
Which product has the highest ratio of reviews to count of reviews in the CSV file?,"SELECT product_name, review_count/count_reviews AS ratio FROM products ORDER BY ratio DESC LIMIT 1; "
How many products in the CSV file have a delivery price of less than 150 and a delivery time of less than 5 days?,SELECT COUNT(*) AS count FROM products WHERE delivery_price < 5 AND delivery_time < 150; 
What is the distribution of brand ratings for the products in the CSV file?,"SELECT brand_rating, COUNT(*) AS count FROM products GROUP BY brand_rating; "
Which seller has the highest number of products with a brand rating greater than 4 and a shipment rating greater than 4 in the CSV file?,"SELECT seller_name, COUNT(*) AS count FROM products WHERE brand_rating > 4 AND shipment_rating > 4 GROUP BY seller_name ORDER BY count DESC LIMIT 1; "
How many products in the CSV file have a discount of more than 30% and a delivery price of less than 250 and a delivery time of less than 3 days?,SELECT COUNT(*) AS count FROM products WHERE discount > 30 AND delivery_price < 250 AND delivery_time < 3; 
What is the correlation between the delivery price and the count of reviews for the products in the CSV file?,"SELECT CORR(delivery_price, count_of_reviews) AS correlation FROM products; "
Which product has the highest number of reviews for products with a brand rating greater than 4 and a shipment rating greater than 4 in the CSV file?,"SELECT product_name, MAX(count_of_reviews) AS max_reviews FROM products WHERE brand_rating > 4 AND shipment_rating > 4 GROUP BY product_name ORDER BY max_reviews DESC LIMIT 1; "
How many sellers in the CSV file have a chat response time of less than 5 minutes and a shipment rating greater than 4.5?,SELECT COUNT(*) AS num_sellers FROM sellers WHERE chat_response_time < 5 AND shipment_rating > 4.5; 
What is the distribution of delivery times for the products in the CSV file with a delivery price of less than 150?,"SELECT delivery_time, COUNT(*) AS num_products FROM products WHERE delivery_price < 150 GROUP BY delivery_time; "
Which seller has the highest ratio of seller rating to chat response time in the CSV file?,"SELECT seller_name, seller_rating / chat_response_time AS ratio FROM sellers ORDER BY ratio DESC LIMIT 1; "
How many products in the CSV file have a discount of more than 10% and a brand rating greater than 4 and a delivery time of less than 5 days?,SELECT COUNT(*) AS num_products FROM products WHERE discount > 0.1 AND brand_rating > 4 AND delivery_time < 5; 
What is the most common shipment rating for the sellers in the CSV file with a chat response time of less than 1 minute?,"SELECT shipment_rating, COUNT(*) AS num_sellers FROM sellers WHERE chat_response_time < 1 GROUP BY shipment_rating ORDER BY num_sellers DESC LIMIT 1; "
